#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	2.31	-1.77	0.15	-1.03	-10000	-10000	1	-16.95	0.879	-8.90	-100.42	-100.00	-29.65	-10000	-10000	
-10000	-10000	24.29	20.09	22.22	20.77	-10000	-10000	1	-22.88	0.769	-17.51	-67.39	-100.00	-40.39	-10000	-10000	
-10000	-10000	36.24	21.73	36.08	23.80	0.12	-10000	1	-22.38	0.617	-19.81	-55.58	-100.00	-42.19	-10000	-10000	
-10000	-10000	41.30	14.33	41.29	20.80	-10000	-10000	1	-19.09	0.629	-19.20	-59.13	-100.00	-38.29	-10000	-10000	
-10000	-10000	42.26	11.79	42.26	15.15	-10000	-10000	1	-11.82	0.449	-21.59	-57.91	-100.00	-33.41	-10000	-10000	
-10000	-10000	41.36	11.71	41.36	15.90	-10000	-10000	1	-11.03	0.429	-14.60	-56.54	-100.00	-29.16	-10000	-10000	
-10000	-10000	41.70	14.85	41.69	19.54	-10000	-10000	1	-7.93	0.631	-15.06	-60.48	-100.00	-32.19	-10000	-10000	
-10000	-10000	42.57	16.15	42.56	21.77	-17.53	-10000	1	-17.03	0.513	-16.63	-53.43	-100.00	-41.71	-10000	-10000	
-10000	-10000	41.95	19.46	41.92	23.34	-15.72	-10000	1	-16.17	0.600	-22.41	-55.28	-100.00	-45.69	-10000	-10000	
-10000	-10000	45.49	22.30	45.47	26.55	-10000	-10000	1	-11.04	0.639	-19.21	-53.85	-100.00	-35.02	-10000	-10000	
197.53	0.246	50.23	27.07	50.21	30.21	1.53	-10000	6	-4.86	0.658	-23.03	-51.13	-100.00	-27.89	-10000	-10000	
-10000	-10000	49.69	28.73	49.66	31.07	18.21	-10000	0	-8.55	0.251	-6.54	-37.41	0.24	-15.09	-10000	-10000	
-10000	-10000	49.53	43.34	48.34	39.65	41.71	340.27	12	6.44	0.698	-27.92	-43.85	-100.00	-21.49	64.55	-10000	
347.83	0.924	52.98	50.53	49.33	49.96	49.01	340.27	13	0.97	0.684	-8.10	-36.42	-100.00	-7.13	64.55	-10000	
347.83	0.953	55.94	52.62	53.23	53.70	51.32	347.82	13	-0.77	0.629	-11.20	-33.37	-100.00	-11.97	64.93	-10000	
347.83	0.955	57.24	54.61	53.82	53.60	54.24	347.82	13	-1.39	0.653	-12.02	-40.41	-100.00	-13.41	64.93	13.47	
347.83	0.941	58.08	56.21	53.52	52.38	56.11	347.82	13	1.59	0.708	-11.77	-37.77	-100.00	-13.34	64.93	11.58	
355.56	0.940	56.39	54.25	52.28	50.66	54.18	355.54	13	1.62	0.693	-12.20	-45.35	-100.00	-10.72	65.31	8.18	
355.56	0.954	55.80	53.51	51.93	48.97	53.44	355.54	13	0.93	0.718	-12.32	-55.96	-100.00	-11.39	65.31	11.52	
355.56	0.956	56.33	54.37	51.92	47.94	54.33	355.54	13	4.90	0.680	-14.97	-56.60	-100.00	-10.07	65.31	11.61	
355.56	0.942	57.27	55.92	51.52	46.46	55.90	355.54	13	8.66	0.622	-17.06	-41.40	-100.00	-8.40	65.31	8.65	
363.64	0.940	57.84	56.97	50.45	43.49	56.94	363.43	13	12.50	0.663	-18.04	-38.11	-100.00	-5.55	65.69	8.80	
363.64	0.972	57.70	56.88	50.05	40.17	56.85	363.43	13	17.79	0.746	-18.47	-50.76	-100.00	-0.68	65.69	6.74	
363.64	0.960	56.10	55.09	49.28	40.95	55.03	363.43	13	14.65	0.758	-16.07	-64.17	-100.00	-1.43	65.69	-0.14	
363.64	0.931	54.74	53.42	48.94	45.88	53.10	363.43	13	7.93	0.695	-12.08	-38.57	-100.00	-4.15	65.69	-5.82	
363.64	0.930	55.98	54.83	49.65	49.09	54.31	363.43	13	11.42	0.671	-11.93	-33.14	-100.00	-4.67	65.69	-6.70	
355.56	0.935	56.46	55.09	50.78	50.97	54.41	355.54	13	7.90	0.689	-9.99	-45.16	-100.00	-9.35	65.31	-9.71	
355.56	0.884	54.55	50.90	52.09	52.27	48.62	355.54	13	-3.22	0.695	-5.03	-31.06	-100.00	-11.83	65.31	-13.98	
-10000	-10000	50.80	45.52	49.27	49.57	39.83	363.43	12	-6.43	0.699	-35.31	-33.99	-100.00	-41.74	65.69	-15.91	
340.43	0.544	36.66	35.41	30.63	30.67	34.95	333.27	12	10.67	0.411	-10000	-41.29	-100.00	10.67	64.19	-5.74	
326.53	0.958	33.65	33.61	12.90	12.21	33.60	326.41	13	28.20	0.488	-10000	-63.35	-100.00	28.20	63.83	-57.30	
-10000	-10000	32.96	32.04	25.74	25.08	31.49	-10000	5	13.77	0.570	-36.19	-52.29	-100.00	-22.42	-10000	-56.50	
307.69	0.806	49.60	46.27	46.88	48.46	36.28	301.75	13	-7.57	0.813	-10000	-43.37	-100.00	-7.57	62.47	-20.49	
301.89	0.889	56.34	51.54	54.60	55.00	40.85	307.55	13	-10.49	0.795	-1.79	-35.23	-100.00	-12.28	62.80	-22.58	
301.89	0.877	54.63	49.78	52.91	52.81	44.06	301.75	13	-1.84	0.767	-7.66	-36.52	-100.00	-9.51	62.47	-25.18	
296.30	0.908	54.30	50.46	51.98	50.86	48.60	296.22	13	-0.42	0.735	-11.94	-43.36	-100.00	-12.37	62.15	-23.41	
296.30	0.914	53.60	49.07	51.71	50.00	45.56	290.80	13	1.17	0.826	-9.65	-43.08	-100.00	-8.48	61.83	-29.02	
290.91	0.864	48.74	43.26	47.30	41.49	42.09	290.80	12	4.42	0.661	-4.76	-40.01	-100.00	-0.34	61.83	-10000	
290.91	0.824	44.40	38.37	43.16	32.89	37.83	285.63	13	6.36	0.743	-1.00	-53.42	-100.00	5.35	61.52	-10000	
-10000	-10000	38.43	30.28	37.71	31.93	-10000	-10000	0	-2.96	0.462	-3.61	-41.54	-100.00	-6.57	-10000	-10000	
172.04	0.506	42.78	27.62	42.65	31.21	15.78	-10000	5	-7.14	0.419	2.62	-40.93	-100.00	-7.14	-10000	-10000	
188.24	0.495	44.75	24.61	44.71	28.97	7.04	-10000	1	-14.82	0.445	6.19	-43.96	-100.00	-14.82	-10000	-10000	
192.77	0.745	41.90	20.15	41.87	23.19	6.04	-10000	1	-15.07	0.464	8.29	-50.35	-100.00	-15.07	-10000	-10000	
197.53	0.474	39.68	17.38	39.65	20.76	-6.47	-10000	1	-14.82	0.407	-1.30	-51.02	-100.00	-21.54	-10000	-10000	
156.86	0.337	41.41	18.20	41.39	22.19	-10000	-10000	1	-15.45	0.625	-8.70	-57.55	-100.00	-27.09	-10000	-10000	
-10000	-10000	41.55	19.64	41.52	23.84	-10000	-10000	1	-21.27	0.499	-10.50	-50.87	-100.00	-33.96	-10000	-10000	
175.82	0.506	39.84	21.78	39.77	23.22	-10000	-10000	1	-9.72	0.463	-0.89	-50.58	0.40	-10.61	-10000	-10000	
168.42	0.561	32.50	20.63	32.21	21.23	-10000	-10000	1	6.46	0.597	1.85	-57.26	-100.00	6.46	-10000	-10000	
-10000	-10000	24.69	16.17	24.03	9.48	15.43	-10000	1	11.03	0.378	7.08	-61.47	-100.00	11.03	-10000	-10000	
228.57	0.819	24.22	24.06	9.58	4.96	24.02	-10000	1	25.82	0.340	-10000	-64.96	0.32	25.82	-10000	-10000	
225.35	0.979	28.80	28.79	2.95	5.01	28.77	228.55	13	25.78	0.573	-10000	-72.64	-100.00	25.78	57.66	-10000	
222.22	0.993	30.49	30.48	3.45	6.09	30.47	222.17	13	30.24	0.555	-10000	-70.68	-100.00	30.24	57.17	-10000	
216.22	1.002	31.00	30.99	4.57	7.16	30.97	216.10	13	31.38	0.617	-10000	-72.22	-100.00	31.38	56.69	-10000	
213.33	0.994	30.70	30.68	7.01	8.01	30.66	210.43	13	28.08	0.481	-10000	-69.20	-100.00	28.08	56.23	-37.43	
210.53	0.999	30.18	29.98	16.61	14.64	29.91	207.77	13	22.02	0.620	-10000	-67.75	-100.00	22.02	56.01	-33.54	
205.13	0.968	28.82	28.65	14.78	13.00	28.58	205.03	13	22.36	0.575	-10000	-64.57	-100.00	22.36	55.78	-31.43	
202.53	0.906	27.25	27.16	10.41	9.28	27.11	199.89	13	21.28	0.581	-0.39	-72.27	-100.00	20.89	55.34	-27.38	
197.53	0.991	27.65	27.56	10.86	9.48	27.53	197.48	13	21.53	0.600	0.06	-69.14	-100.00	21.53	55.13	-25.36	
195.12	0.970	28.11	27.95	13.63	11.84	27.90	192.74	13	18.73	0.550	-0.09	-68.14	-100.00	18.64	54.71	-22.51	
190.48	0.967	30.89	29.63	24.87	23.80	28.67	192.74	13	9.28	0.743	-1.00	-62.51	-100.00	8.29	54.71	-19.82	
190.48	0.965	34.18	32.13	29.92	29.53	30.07	190.42	13	-0.06	0.764	-2.20	-65.79	-100.00	-2.26	54.50	-15.30	
188.24	0.940	36.41	34.83	31.24	34.18	31.25	188.23	13	-2.51	0.811	-2.15	-60.36	-100.00	-4.66	54.30	-14.11	
186.05	0.935	38.54	37.06	33.13	36.74	32.25	185.96	13	-5.85	0.842	-2.74	-58.02	-100.00	-8.59	54.09	-15.24	
186.05	0.965	40.10	38.53	34.91	38.43	33.35	185.96	13	-6.98	0.878	-3.91	-60.82	-100.00	-10.89	54.09	-13.23	
183.91	0.978	41.29	39.57	36.43	39.78	34.29	183.83	13	-6.54	0.863	-5.42	-57.46	-100.00	-11.97	53.89	-12.87	
181.82	0.936	40.50	38.40	36.32	38.73	34.10	181.71	13	-5.69	0.832	-7.90	-58.25	-100.00	-13.59	53.69	-11.42	
181.82	0.962	40.29	38.19	36.12	38.35	34.33	181.71	13	-5.19	0.827	-8.20	-63.51	0.81	-13.38	53.69	-10.27	fr
179.78	0.932	39.78	38.16	34.70	37.83	34.51	179.73	13	-3.17	0.810	-8.47	-53.72	-100.00	-11.64	53.50	-7.19	fr
179.78	0.963	39.05	37.85	32.89	36.68	34.70	179.73	13	-3.06	0.810	-8.60	-54.87	-100.00	-11.66	53.50	-4.04	fr
179.78	0.981	37.01	36.42	28.08	33.08	34.42	179.73	13	-0.59	0.754	-8.41	-60.82	-100.00	-9.00	53.50	-2.85	fr
179.78	0.982	35.46	34.99	25.62	29.15	33.90	179.73	13	4.33	0.698	-8.00	-54.35	-100.00	-3.67	53.50	0.00	fr
179.78	0.979	34.47	33.89	25.43	26.57	33.14	179.73	13	5.42	0.735	-7.53	-62.44	0.79	-2.11	53.50	0.00	fr
179.78	0.917	32.23	31.34	24.93	26.36	30.02	179.73	13	3.26	0.643	-5.70	-54.24	0.86	-2.44	53.50	-10000	fr
179.78	0.861	28.58	26.70	24.03	22.98	25.48	179.73	12	5.51	0.662	-2.16	-58.57	0.69	3.35	53.50	-10000	fr
179.78	0.670	21.96	20.18	17.21	19.32	15.18	-10000	1	3.36	0.720	1.81	-65.50	-100.00	3.36	-10000	-10000	fr
-10000	-10000	3.61	0.84	0.28	2.28	-10000	-10000	1	2.64	0.880	-0.21	-97.26	-100.00	2.43	-10000	-10000	fr
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
