#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	46.93	26.06	46.89	27.07	19.51	235.25	12	-0.68	0.477	-1.29	-46.89	-100.00	-1.96	58.16	-10000	
-10000	-10000	47.03	20.63	47.02	25.42	8.78	-10000	1	-12.83	0.426	-10000	-46.93	-100.00	-12.83	-10000	-10000	
-10000	-10000	43.85	20.50	43.83	24.95	5.93	-10000	1	-10.53	0.587	-10000	-53.12	-100.00	-10.53	-10000	-10000	
-10000	-10000	39.32	16.98	39.29	22.54	6.44	-10000	1	-15.27	0.567	-10000	-54.71	-100.00	-16.64	-10000	-10000	
-10000	-10000	38.46	16.59	38.43	21.87	-5.80	-10000	1	-13.74	0.410	-3.58	-50.00	-100.00	-24.99	-10000	-10000	
-10000	-10000	37.62	23.21	37.46	24.93	-10000	-10000	1	-3.47	0.480	-13.34	-49.13	0.25	-24.85	-10000	-10000	
-10000	-10000	38.93	28.10	38.55	29.12	12.39	-10000	0	-0.03	0.568	-18.59	-48.17	0.35	-21.41	-10000	-10000	
-10000	-10000	41.01	39.19	36.36	34.52	37.74	340.27	12	6.53	0.630	-10.20	-45.46	-100.00	-3.67	64.55	-10000	
301.89	0.861	51.26	50.89	40.39	45.98	49.32	307.55	13	12.66	0.798	-9.88	-44.51	-100.00	2.78	62.80	-10000	
307.69	0.933	55.55	55.00	46.25	50.61	53.40	307.55	13	13.56	0.754	-15.40	-38.64	-100.00	-1.83	62.80	-10000	
307.69	0.970	56.95	55.85	50.45	52.08	54.31	307.55	13	8.69	0.755	-17.67	-45.03	-100.00	-8.98	62.80	-1.27	
307.69	0.968	57.46	56.16	51.60	52.37	54.23	307.55	13	10.69	0.779	-17.19	-10.34	-100.00	-6.50	62.80	1.93	
307.69	0.964	57.19	55.87	51.37	52.85	53.43	307.55	13	10.43	0.799	-16.12	-47.13	-100.00	-5.69	62.80	2.20	
307.69	0.885	55.31	54.49	47.64	52.01	51.41	307.55	13	10.42	0.809	-12.21	-39.45	-100.00	-1.79	62.80	2.97	
307.69	0.774	46.73	46.15	37.67	41.93	44.52	319.87	13	10.86	0.703	-1.21	-41.86	-100.00	7.30	63.48	5.05	
313.73	0.935	41.98	41.48	32.30	36.69	39.81	307.55	13	11.95	0.581	-10000	-49.09	-100.00	11.95	62.80	9.22	
313.73	0.961	42.34	40.25	38.16	36.50	38.09	307.55	13	8.43	0.580	-10000	-56.58	-100.00	8.43	62.80	4.81	
313.73	0.959	42.34	39.97	38.57	36.68	37.54	313.65	13	6.64	0.653	-10000	-67.10	-100.00	6.64	63.14	0.62	
313.73	0.935	42.56	40.54	38.27	37.36	37.99	319.87	13	4.85	0.614	-10000	-47.77	-100.00	4.85	63.48	11.70	
320.00	0.873	44.81	42.42	41.07	40.63	39.42	307.55	13	4.09	0.582	-10000	-37.23	-100.00	4.09	62.80	10.00	
320.00	0.911	50.84	46.38	48.91	47.69	43.73	319.87	13	-3.58	0.665	-4.98	-38.89	-100.00	-8.55	63.48	6.80	
320.00	0.957	53.88	47.32	52.80	51.04	44.87	319.87	13	-8.62	0.613	-7.66	-53.30	-100.00	-16.28	63.48	7.11	
320.00	0.952	53.70	46.11	52.87	51.16	43.57	319.87	13	-10.37	0.564	-6.89	-46.46	-100.00	-17.26	63.48	10.66	
320.00	0.912	49.67	42.80	48.67	46.46	40.52	319.87	13	-6.75	0.568	-4.27	-37.87	-100.00	-11.02	63.48	-10000	
